name,weight
photography,100
use scripting programming,99
support social service users with specific communication needs,99
undertake risk assessment of clients,99
constitutional law,99
monitor sugar uniformity,99
prepare flambeed dishes,99
software architecture models,99
design information system,99
keep updated on the political landscape,99
subsidiary operations,98
analyse business requirements,98
implement strategic management,98
test chemical samples,98
analyse software specifications,98
secondary school procedures,98
support service users in developing skills,98
"""monitor service users health""",98
support service users to use technological aids,98
refer service users to community resources,98
historic architecture,98
"""assist in childrens development of basic personal skills""",98
manufacturing of wearing apparel,98
use consulting techniques,97
compile legal documents,97
make architectural mock-ups,97
support social service users in skills management,97
support harmed social service users,97
strategic planning,97
encourage social service users to preserve their independence in their daily activities,96
"""evaluate older adults ability to take care of themselves""",96
software design methodologies,96
coordinate manufacturing production activities,96
manufacturing of made-up textile articles,96
advise guests on menus for special events,96
assist students with their dissertation,96
supervise educational staff,96
fine arts,96
advise on construction materials,96
perform clerical duties,96
"""identify clients needs""",95
ensure conformity to specifications,95
provide financial product information,95
standard sizing systems for clothing,95
primary school procedures,95
"""support social service users positiveness""",95
dispose of hazardous waste,95
maintain laboratory equipment,95
provide support in financial calculation,95
monitor machine operations,95
conduct quality control analysis,95
assist scientific research,95
prepare visual data,95
estimate profitability,95
liaise with politicians,95
law enforcement,95
collaborate in the development of marketing strategies,94
lead inspections,94
follow written instructions,94
food homogenisation,94
prepare building permit applications,94
mechanical tools,94
promote yourself,94
check quality of raw materials,93
identify ICT system weaknesses,93
react to events in time-critical environments,93
manage IT security compliances,93
practice innovative thinking in the footwear and leather goods industries,93
provide written content,93
quality assurance procedures,93
transport construction supplies,93
handle veterinary emergencies,93
clean food and beverage machinery,93
use chemical analysis equipment,92
be at ease in unsafe environments,92
check quality of products on the production line,92
counselling methods,92
oversee extra-curricular activities,92
greet guests,92
cook pastry products,92
ICT project management,92
assist social service users in formulating complaints,92
manage the handling of promotional materials,92
social media marketing techniques,91
promote environmental awareness,91
identify market niches,91
perform property market research,91
audit HACCP,91
maintain operational communications,91
manage emergency procedures,91
perform product testing,91
ensure sanitation,91
discuss research proposals,91
interpret technical texts,91
communicate with local residents,91
"""attend to childrens basic physical needs""",91
levels of software testing,91
impact of geological factors on mining operations,91
business requirements techniques,90
proofread text,90
fire safety regulations,90
attend to detail regarding food and beverages,90
investment analysis,90
"""integrate headquarters guidelines into local operations""",90
read assembly drawings,90
analyse ICT system,90
implement care programmes for children,90
advise client on technical possibilities,89
enforce financial policies,89
set organisational policies,89
label samples,89
health and safety measures in transportation,89
civil engineering,89
install electrical and electronic equipment,89
identify undetected organisational needs,89
construction legal systems,89
refer social service users,89
manage ethical issues within social services,89
perform sample testing,88
supply machine with appropriate tools,88
operate radio equipment,88
report test findings,88
interview techniques,88
define software architecture,88
define manufacturing quality criteria,88
present legislation proposition,88
prepare legislation proposition,88
create prototype of user experience solutions,88
file claims with insurance companies,87
medical terminology,87
track shipments,87
track shipping sites,87
maintain relations with local representatives,87
identify security threats,87
dispose of cutting waste material,87
get involved in the day-to-day operation of the company,87
develop company strategies,87
bookkeeping regulations,87
evaluate budgets,87
geographic areas,87
use instruments for food measurement,87
calculate needs for construction supplies,87
motivate employees,87
manage ICT project,87
legal research,87
think creatively about food and beverages,87
ensure compliance with company regulations,86
writing techniques,86
adapt teaching to target group,86
pharmacology,86
publish academic research,86
support development of annual budget,86
modern portfolio theory,86
criminal law,86
web analytics,86
analyse legal evidence,85
provide treatment strategies for challenges to human health,85
employ foreign languages for health-related research,85
drive vehicles,85
handle surveillance equipment,85
optimise production processes parameters,85
systems development life-cycle,85
perform process control in the wearing apparel industry,85
stock market,85
hygiene in a health care setting,85
tools for software configuration management,85
create flowchart diagram,85
footwear creation process,85
understand artistic concepts,85
adult education,84
"""respond to customers inquiries""",84
maintain electrical equipment,84
analyse customer service surveys,84
government policy,84
information security strategy,84
conduct research interview,84
monitor the welfare of animals,84
manage animal hygiene,84
supervise doctoral students,84
participate in scientific colloquia,84
serve on academic committee,84
musical theory,84
operate computerised control systems,84
types of maritime vessels,84
industrial engineering,84
"""monitor students behaviour""",84
check accounting records,84
prepare financial auditing reports,84
perform ICT troubleshooting,83
communicate with banking professionals,83
pollution legislation,83
carry out inventory control accuracy,83
adapt instruction to labour market,83
evaluate garment quality,83
ensure law application,83
health care occupation-specific ethics,83
budget for financial needs,83
job market offers,83
legal case management,82
ensure proper document management,82
monitor system performance,82
strive for harmonious architectural constructions,82
translate artistic concepts to technical designs,82
business processes,82
carry out checks of production plant equipment,82
administer multi-modal logistics,82
hazardous freight regulations,82
promote human rights,81
integrate system components,81
follow control of substances hazardous to health procedures,81
monitor merchandise delivery,81
organisational resilience,81
geographic information systems,81
communication,81
disseminate information on tax legislation,81
apply crisis intervention,81
utilise computer-aided software engineering tools,81
coordinate operational activities,81
initiate contact with sellers,81
reflect on practice,80
initiate contact with buyers,80
sales promotion techniques,80
manage freight payment methods,80
environmental policy,80
show responsibility,80
support social service users to live at home,80
use software design patterns,80
collect customer feedback on applications,80
organise training,80
conclude business agreements,80
plan social service process,80
negotiate sale of commodities,80
engine components,79
ensure regulatory compliance concerning distribution activities,79
accounting entries,79
manage ICT legacy implication,79
profile people,79
assume responsibility for the management of a business,79
social work theory,79
use software libraries,79
manage animal biosecurity,78
liaise with advertising agencies,78
use analytics for commercial purposes,78
negotiate terms with suppliers,78
customer relationship management,78
